name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
Lauren Wilkinson,rowing,CAN,female,10/17/89,26.8,1.80,75,23.1,0,0,0,
Laurence Baldauff,archery,AUT,female,11/19/74,41.7,1.64,57,21.2,0,0,0,
Laurence Brize,shooting,FRA,female,7/12/76,40.1,1.58,55,22.0,0,0,0,
Laurence Halsted,fencing,GBR,male,5/22/84,32.2,1.85,85,24.8,0,0,0,
Laurens de Plus,cycling,BEL,male,9/4/95,20.9,1.88,67,19.0,0,0,0,
Laurent Carnol,aquatics,LUX,male,10/17/89,26.8,1.87,82,23.4,0,0,0,
Laurent Couhet,rugby sevens,BRA,male,7/12/94,22.1,1.71,75,25.6,0,0,0,
Laurent Jr. Clayton,boxing,ISV,male,7/18/90,26.1,,,,0,0,0,
Laurie Berthon,cycling,FRA,female,8/26/91,25.0,1.69,69,24.2,0,0,0,
Laurien Leurink,hockey,NED,female,11/13/94,21.7,1.73,67,22.4,0,1,0,
Laurine van Riessen,cycling,NED,female,8/10/87,29.0,1.67,63,22.6,0,0,0,
Laurisa Landre,handball,FRA,female,10/27/85,30.8,1.74,67,22.1,0,1,0,
Lauritz Schoof,rowing,GER,male,10/7/90,25.8,1.95,98,25.8,1,0,0,
Lautaro Giannetti,football,ARG,male,11/13/93,22.7,1.75,80,26.1,0,0,0,
Lavenia Tinai,rugby sevens,FIJ,female,9/7/90,25.9,1.65,57,20.9,0,0,0,
Laverne Jones-Ferrette,athletics,ISV,female,9/16/81,34.9,1.73,68,22.7,0,0,0,
Lawrence Brittain,rowing,RSA,male,11/9/90,25.8,1.87,94,26.9,0,1,0,
Lawrence Clarke,athletics,GBR,male,3/12/90,26.4,1.87,77,22.0,0,0,0,
Lawrence Fanous,triathlon,JOR,male,8/27/85,31.0,1.70,61,21.1,0,0,0,
Lawrence Okolie,boxing,GBR,male,12/16/92,23.7,1.95,,,0,0,0,
Laxmirani Majhi,archery,IND,female,1/26/89,27.5,1.61,56,21.6,0,0,0,
Lazaro Jorge Alvarez,boxing,CUB,male,1/28/91,25.5,1.73,,,0,0,1,
Lazaro Martinez,athletics,CUB,male,11/3/97,18.8,1.91,83,22.8,0,0,0,
le Quoc Toan Tran,weightlifting,VIE,male,4/5/89,27.4,1.60,56,21.9,0,0,0,
le Roux Hamman,athletics,RSA,male,1/6/92,24.6,1.85,70,20.5,0,0,0,
Lea Davison,cycling,USA,female,5/19/83,33.2,1.68,55,19.5,0,0,0,
Lea Jamelot,canoe,FRA,female,11/28/92,23.7,1.68,65,23.0,0,0,0,
Lea Sprunger,athletics,SUI,female,3/5/90,26.4,1.83,69,20.6,0,0,0,
Lea Yanitsas,aquatics,AUS,female,3/15/89,27.4,1.73,77,25.7,0,0,0,
Leah Kirchmann,cycling,CAN,female,6/30/90,26.1,1.67,59,21.2,0,0,0,
Leah Neale,aquatics,AUS,female,8/1/95,21.0,1.73,77,25.7,0,1,0,
Leah Nugent,athletics,JAM,female,11/23/92,23.7,1.73,66,22.1,0,0,0,
Leah Smith,aquatics,USA,female,4/19/95,21.3,1.76,67,21.6,1,0,1,
Leander Paes,tennis,IND,male,6/17/73,43.2,1.75,82,26.8,0,0,0,
Leandra Smeda,football,RSA,female,7/22/89,27.1,1.65,55,20.2,0,0,0,
Leandre Bouchard,cycling,CAN,male,10/20/92,23.8,1.93,81,21.7,0,0,0,
Leandro Barbosa,basketball,BRA,male,11/28/82,33.7,1.94,97,25.8,0,0,0,
Leandro Blanc,boxing,ARG,male,5/2/93,23.3,1.65,,,0,0,0,
Leandro Silva,football,POR,male,5/4/94,22.3,1.80,70,21.6,0,0,0,
Leandro Vega,football,ARG,male,5/27/96,20.2,1.66,70,25.4,0,0,0,
Leandro Zamora,athletics,CUB,male,3/11/96,20.4,1.86,72,20.8,0,0,0,
Leanne Choo,badminton,AUS,female,6/5/91,25.2,1.67,58,20.8,0,0,0,
Lebenya Nkoka,athletics,LES,male,10/19/82,33.8,,,,0,0,0,
Lebo Mothiba,football,RSA,male,1/28/96,20.5,1.81,69,21.1,0,0,0,
Lebogang Shange,athletics,RSA,male,8/1/90,26.0,1.60,56,21.9,0,0,0,
Lebohang Ramalepe,football,RSA,female,12/3/91,24.7,1.55,48,20.0,0,0,0,
Lee Kiefer,fencing,USA,female,6/15/94,22.2,1.63,48,18.1,0,0,0,
Lee Parkhill,sailing,CAN,male,11/22/88,27.7,1.81,82,25.0,0,0,0,
Lee-Ann Persse,rowing,RSA,female,11/20/88,27.7,1.81,74,22.6,0,0,0,
Leevan Sands,athletics,BAH,male,8/16/81,35.0,1.91,82,22.5,0,0,0,
Lei Gao,gymnastics,CHN,male,1/2/92,24.6,1.70,64,22.1,0,0,1,
Lei Gong,sailing,CHN,male,3/26/83,33.4,1.85,88,25.7,0,0,0,
Lei Kou,table tennis,UKR,male,11/20/87,28.7,1.76,74,23.9,0,0,0,
Leia da Silva Nicolosi,volleyball,BRA,female,3/1/85,31.5,1.69,58,20.3,0,0,0,
Leicy Santos,football,COL,female,5/16/96,20.2,1.54,56,23.6,0,0,0,
Leidy Asprilla,football,COL,female,4/18/97,19.3,1.58,57,22.8,0,0,0,
Leidy Yessenia Solis Arboleda,weightlifting,COL,female,2/17/90,26.5,1.68,69,24.4,0,0,0,
Leidys Brito,archery,VEN,female,7/5/84,32.1,1.69,52,18.2,0,0,0,
Leila Abdelmoez,aquatics,EGY,female,9/30/96,19.9,1.60,46,18.0,0,0,0,
Leila Luik,athletics,EST,female,10/14/85,30.8,1.65,48,17.6,0,0,0,
Leilani Mitchell,basketball,AUS,female,6/15/85,31.2,1.65,60,22.0,0,0,0,
Leinier Eunice Pero,boxing,CUB,male,11/24/92,23.7,1.92,,,0,0,0,
Lely Berlitt Burgos Ortiz,weightlifting,PUR,female,6/6/85,31.2,1.53,50,21.4,0,0,0,
Lemi Berhanu,athletics,ETH,male,9/13/94,21.9,1.68,53,18.8,0,0,0,
Lena Goessling,football,GER,female,3/8/86,30.4,1.71,56,19.2,1,0,0,
Lena Kreundl,aquatics,AUT,female,9/19/97,18.9,1.74,69,22.8,0,0,0,
Lena Schoneborn,modern pentathlon,GER,female,4/11/86,30.3,1.79,60,18.7,0,0,0,
Lena Urbaniak,athletics,GER,female,10/31/92,23.8,1.74,92,30.4,0,0,0,
Lenchu Kunzang,shooting,BHU,female,2/10/92,24.5,1.65,59,21.7,0,0,0,
Lenin Preciado,judo,ECU,male,8/23/93,23.0,1.70,60,20.8,0,0,0,
Lenka Antosova,rowing,CZE,female,9/27/91,24.9,1.77,70,22.3,0,0,0,
Lennie Waite,athletics,GBR,female,2/4/86,30.5,1.71,59,20.2,0,0,0,
Leo Mainoldi,basketball,ARG,male,3/4/85,31.4,2.04,106,25.5,0,0,0,
Leon Goretzka,football,GER,male,2/6/95,21.5,1.86,76,22.0,0,0,0,
Leona Maguire,golf,IRL,female,11/30/94,21.7,1.68,56,19.8,0,0,0,
Leonard Essau Korir,athletics,USA,male,12/10/86,29.7,1.71,59,20.2,0,0,0,
Leonard Ong,sailing,SIN,male,12/9/92,23.7,1.70,68,23.5,0,0,0,
Leonardo Bittencourt,football,GER,male,12/19/93,22.6,1.71,62,21.2,0,0,0,
Leonardo Chacon,triathlon,CRC,male,6/29/84,32.1,1.79,65,20.3,0,0,0,
Leonardo de Deus,aquatics,BRA,male,1/18/91,25.6,1.75,70,22.9,0,0,0,
Leonardo Querin,handball,ARG,male,4/17/82,34.3,1.97,105,27.1,0,0,0,
Leonardo Santos,handball,BRA,male,5/30/94,22.2,1.94,104,27.6,0,0,0,
