name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
Estavana Polman,handball,NED,female,8/5/92,24.0,1.73,65,21.7,0,0,0,
Esteban Enderica,aquatics,ECU,male,10/30/90,25.8,1.77,71,22.7,0,0,0,
Esteban Grimalt,volleyball,CHI,male,1/9/91,25.6,1.90,88,24.4,0,0,0,
Estefania Alvarez Piedrahita,aquatics,COL,female,8/25/94,22.0,1.62,60,22.9,0,0,0,
Estefania Garcia,judo,ECU,female,5/13/88,28.2,1.65,63,23.1,0,0,0,
Estefania Ramirez,rugby sevens,COL,female,9/10/91,24.9,1.68,69,24.4,0,0,0,
Estela Garcia,athletics,ESP,female,3/20/89,27.4,1.70,56,19.4,0,0,0,
Estela Navascues,athletics,ESP,female,2/3/81,35.5,1.63,50,18.8,0,0,0,
Estellah Fils Rabetsara,aquatics,MAD,female,5/29/94,22.2,1.67,59,21.2,0,0,0,
Estelle Mossely,boxing,FRA,female,8/19/92,24.0,1.68,,,1,0,0,
Estelle Nze-Minko,handball,FRA,female,8/11/91,25.0,1.78,67,21.1,0,1,0,
Esther Barrugues Alvina,shooting,AND,female,5/16/80,36.2,1.64,60,22.3,0,0,0,
Esther Guerrero,athletics,ESP,female,2/7/90,26.5,1.68,60,21.3,0,0,0,
Esther Qin,aquatics,AUS,female,11/18/91,24.7,1.68,58,20.5,0,0,0,
Esther Stam,judo,GEO,female,3/11/87,29.4,1.74,75,24.8,0,0,0,
Etel Sanchez,aquatics,ARG,female,8/23/89,27.0,1.71,59,20.2,0,0,0,
Etenesh Diro,athletics,ETH,female,5/10/91,25.3,1.68,49,17.4,0,0,0,
Ethan Mitchell,cycling,NZL,male,2/19/91,25.5,1.80,83,25.6,0,1,0,
Etiene Medeiros,aquatics,BRA,female,5/24/91,25.2,1.69,60,21.0,0,0,0,
Etienne Hubert,canoe,FRA,male,1/27/88,28.5,1.85,86,25.1,0,0,0,
Etimoni Timuani,athletics,TUV,male,10/14/91,24.8,1.84,72,21.3,0,0,0,
Eugene Magee,hockey,IRL,male,4/1/86,30.4,1.77,83,26.5,0,0,0,
Eugene Wang,table tennis,CAN,male,11/13/85,30.7,1.74,80,26.4,0,0,0,
Eugenie Bouchard,tennis,CAN,female,2/25/94,22.5,1.78,58,18.3,0,0,0,
Eugenie le Sommer,football,FRA,female,5/18/89,27.2,1.61,58,22.4,0,0,0,
Eugenio Rossi,athletics,SMR,male,3/6/92,24.4,1.92,75,20.3,0,0,0,
Eun Hee Ryu,handball,KOR,female,2/24/90,26.5,1.80,76,23.5,0,0,0,
Eun Ju Lee,gymnastics,KOR,female,3/5/99,17.4,1.48,,,0,0,0,
Eunbi Cheon,hockey,KOR,female,2/7/92,24.5,1.65,59,21.7,0,0,0,
Eunbi Lee,handball,KOR,female,10/23/90,25.8,1.63,58,21.8,0,0,0,
Eunhye Kim,shooting,KOR,female,5/8/87,29.3,1.61,50,19.3,0,0,0,
Eunice Chibanda,football,ZIM,female,3/26/93,23.4,1.63,61,23.0,0,0,0,
Eunice Jepkirui Kirwa,athletics,BRN,female,5/20/84,32.2,1.55,49,20.4,0,1,0,
Eunice Jepkoech Sum,athletics,KEN,female,4/10/88,28.3,1.70,54,18.7,0,0,0,
Eunsook Choi,fencing,KOR,female,2/28/86,30.5,1.69,59,20.7,0,0,0,
Eva Alicia Gurrola Ortiz,weightlifting,MEX,female,5/17/94,22.2,1.55,63,26.2,0,0,0,
Eva Calvo Gomez,taekwondo,ESP,female,7/29/91,25.0,1.76,57,18.4,0,1,0,
Eva Csernoviczki,judo,HUN,female,10/16/86,29.8,1.60,51,19.9,0,0,0,
Eva de Goede,hockey,NED,female,3/23/89,27.4,1.70,61,21.1,0,1,0,
Eva Hovenkamp,athletics,NED,female,7/19/96,20.1,1.73,65,21.7,0,0,0,
Eva Lechner,cycling,ITA,female,7/1/85,31.1,1.65,50,18.4,0,0,0,
Eva Lee,badminton,USA,female,8/7/86,30.0,1.68,58,20.5,0,0,0,
Eva Odorova,table tennis,SVK,female,11/22/79,36.7,1.75,60,19.6,0,0,0,
Eva Risztov,aquatics,HUN,female,8/30/85,31.0,1.73,64,21.4,0,0,0,
Eva Roesken,shooting,GER,female,7/5/84,32.1,1.65,70,25.7,0,0,0,
Eva Vrabcova Nyvltova,athletics,CZE,female,2/6/86,30.5,1.62,48,18.3,0,0,0,
Evagjelia Veli,weightlifting,ALB,female,7/16/91,25.1,1.60,52,20.3,0,0,0,
Evaldas Petrauskas,boxing,LTU,male,3/19/92,24.4,1.64,,,0,0,0,
Evan Dunfee,athletics,CAN,male,9/28/90,25.9,1.86,65,18.8,0,0,0,
Evan Jager,athletics,USA,male,3/8/89,27.4,1.88,65,18.4,0,1,0,
Evan Van Moerkerke,aquatics,CAN,male,8/16/93,23.0,2.05,110,26.2,0,0,0,
Evandro Goncalves Oliveira Junior,volleyball,BRA,male,7/17/90,26.1,2.10,105,23.8,0,0,0,
Evandro M. Guerra,volleyball,BRA,male,12/27/81,34.6,2.07,103,24.0,1,0,0,
Evangelia Papazoglou,aquatics,GRE,female,1/14/95,21.6,1.72,60,20.3,0,0,0,
Evangelia Platanioti,aquatics,GRE,female,8/9/94,22.0,1.70,52,18.0,0,0,0,
Evangelia Psarra,archery,GRE,female,6/17/74,42.2,1.72,63,21.3,0,0,0,
Evangelos Ioannis Delakas,aquatics,GRE,male,2/8/85,31.5,1.89,90,25.2,0,0,0,
Evania Pelite,rugby sevens,AUS,female,7/12/95,21.1,1.69,67,23.5,1,0,0,
Evans Kiplagat Barkowet,athletics,AZE,male,3/5/88,28.4,1.70,60,20.8,0,0,0,
Eve Macfarlane,rowing,NZL,female,9/27/92,23.9,1.86,75,21.7,0,0,0,
Evelina Afoa,aquatics,SAM,female,9/13/98,17.9,1.62,60,22.9,0,0,0,
Evelis Aguilar,athletics,COL,female,1/3/93,23.6,1.73,64,21.4,0,0,0,
Evelyn Cipriano,athletics,CUB,female,12/24/95,20.6,,,,0,0,0,
Evelyn Rivera,athletics,COL,female,12/3/97,18.7,1.57,54,21.9,0,0,0,
Evelyn Stevens,cycling,USA,female,5/9/83,33.3,1.66,55,20.0,0,0,0,
Evelyn Verraszto,aquatics,HUN,female,7/17/89,27.1,1.73,62,20.7,0,0,0,
Evelyne Tschopp,judo,SUI,female,6/19/91,25.1,1.62,55,21.0,0,0,0,
Ever Palma,athletics,MEX,male,3/18/92,24.4,1.66,62,22.5,0,0,0,
Evgenia Ukolova,volleyball,RUS,female,5/17/89,27.2,1.81,66,20.1,0,0,0,
Evgenii Drattcev,aquatics,RUS,male,1/24/83,33.6,1.80,74,22.8,0,0,0,
Evgenii Kuznetsov,aquatics,RUS,male,4/12/90,26.3,1.73,65,21.7,0,0,0,
Evgenii Lukantsov,canoe,RUS,male,12/5/91,24.7,1.87,91,26.0,0,0,0,
Evgeniia Soboleva,aquatics,RUS,female,8/26/88,28.0,1.80,75,23.1,0,0,1,
Evgeniya Ivanova,aquatics,RUS,female,7/26/87,29.0,1.76,67,21.6,0,0,1,
Evgeniya Ovchinnikova,equestrian,RUS,female,4/7/85,31.4,1.70,49,17.0,0,0,0,
Evgeny Donskoy,tennis,RUS,male,5/9/90,26.3,1.84,76,22.4,0,0,0,
Evgeny Komarov,cycling,RUS,male,11/8/88,27.8,1.75,78,25.5,0,0,0,
Evgeny Koptelov,aquatics,RUS,male,11/24/93,22.7,1.91,74,20.3,0,0,0,
Evgeny Rylov,aquatics,RUS,male,9/23/96,19.9,1.84,73,21.6,0,0,1,
Evgeny Tishchenko,boxing,RUS,male,7/15/91,25.1,1.96,,,1,0,0,
Evgheni Nedealco,wrestling,MDA,male,1/3/90,26.6,1.79,79,24.7,0,0,0,
Evi van Acker,sailing,BEL,female,9/23/85,30.9,1.72,70,23.7,0,0,0,
Evita Leter,aquatics,SUR,female,7/5/95,21.1,,,,0,0,0,
Ewa Swoboda,athletics,POL,female,7/26/97,19.0,1.67,60,21.5,0,0,0,
Ewelina Ptak,athletics,POL,female,3/20/87,29.4,1.65,57,20.9,0,0,0,
Ewelina Wojnarowska,canoe,POL,female,12/13/86,29.7,1.71,72,24.6,0,0,0,
Eyal Levine,sailing,ISR,male,8/27/86,30.0,1.70,60,20.8,0,0,0,
Eyglo Gustafsdottir,aquatics,ISL,female,2/1/95,21.5,1.87,82,23.4,0,0,0,
Eythora Thorsdottir,gymnastics,NED,female,8/10/98,18.0,1.60,47,18.4,0,0,0,
Ezekiel Kemboi,athletics,KEN,male,5/25/82,34.2,1.67,52,18.6,0,0,0,
Ezequiel Palacios,volleyball,ARG,male,10/2/92,23.9,1.98,95,24.2,0,0,0,
Ezequiel Unsain,football,ARG,male,3/9/95,21.4,1.76,75,24.2,0,0,0,
Ezinne Okparaebo,athletics,NOR,female,3/3/88,28.4,,,,0,0,0,
Fa Quan Bai,triathlon,CHN,male,3/18/86,30.4,1.73,66,22.1,0,0,0,
Fabian Cancellara,cycling,SUI,male,3/18/81,35.4,1.86,81,23.4,1,0,0,
Fabian Drzyzga,volleyball,POL,male,1/3/90,26.6,1.96,90,23.4,0,0,0,
Fabian Florant,athletics,NED,male,2/1/83,33.5,1.80,74,22.8,0,0,0,
Fabian Gomez,golf,ARG,male,10/27/78,37.8,1.73,80,26.7,0,0,0,
Fabian Hambuechen,gymnastics,GER,male,10/25/87,28.8,1.64,68,25.3,1,0,0,
Fabian Heinle,athletics,GER,male,5/14/94,22.2,1.87,72,20.6,0,0,0,
Fabian Hernando Puerta Zapata,cycling,COL,male,7/12/91,25.1,1.82,90,27.2,0,0,0,
Fabian Kauter,fencing,SUI,male,9/22/85,30.9,1.81,83,25.3,0,0,0,
Fabian Wiede,handball,GER,male,2/8/94,22.5,1.94,94,25.0,0,0,1,
Fabiana,football,BRA,female,8/4/89,27.0,1.61,57,22.0,0,0,0,
Fabiana Claudino,volleyball,BRA,female,1/24/85,31.6,1.93,76,20.4,0,0,0,
Fabiana Diniz,handball,BRA,female,5/13/81,35.3,1.83,71,21.2,0,0,0,
Fabiana Moraes,athletics,BRA,female,6/5/86,30.2,1.70,55,19.0,0,0,0,
Fabiana Murer,athletics,BRA,female,3/16/81,35.4,1.72,58,19.6,0,0,0,
Fabiano Joseph,athletics,TAN,male,12/24/85,30.6,,50,,0,0,0,
Fabien Gilot,aquatics,FRA,male,4/27/84,32.3,1.92,87,23.6,0,1,0,
Fabienne In-Albon,golf,SUI,female,9/5/86,29.9,1.64,63,23.4,0,0,0,
Fabienne Kohlmann,athletics,GER,female,11/6/89,26.8,1.70,57,19.7,0,0,0,
Fabienne Schlumpf,athletics,SUI,female,11/17/90,25.7,1.83,63,18.8,0,0,0,
Fabienne St Louis,triathlon,MRI,female,3/22/88,28.4,1.71,55,18.8,0,0,0,
Fabio Aru,cycling,ITA,male,7/3/90,26.1,1.83,65,19.4,0,0,0,
Fabio Basile,judo,ITA,male,10/7/94,21.8,1.60,66,25.8,1,0,0,
Fabio Chiuffa,handball,BRA,male,3/10/89,27.4,1.85,85,24.8,0,0,0,
Fabio Fognini,tennis,ITA,male,5/24/87,29.2,1.80,74,22.8,0,0,0,
Fabio Infimo,rowing,ITA,male,7/18/88,28.1,1.94,86,22.9,0,0,0,
Fabio Wyss,canoe,SUI,male,6/9/89,27.2,1.85,85,24.8,0,0,0,
Fabrice Dabla,athletics,TOG,male,11/20/92,23.7,,,,0,0,0,
Fabrice Lapierre,athletics,AUS,male,10/17/83,32.8,1.79,69,21.5,0,0,0,
Fabrice Zango Hugues,athletics,BUR,male,6/25/93,23.1,1.80,78,24.1,0,0,0,
Fabrizio Donato,athletics,ITA,male,8/14/76,40.0,1.89,83,23.2,0,0,0,
Fabrizio Zanotti,golf,PAR,male,5/21/83,33.2,1.69,70,24.5,0,0,0,
Facundo Callioni,hockey,ARG,male,10/9/85,30.8,1.83,77,23.0,1,0,0,
Facundo Campazzo,basketball,ARG,male,3/23/91,25.4,1.81,85,25.9,0,0,0,
Facundo Conte,volleyball,ARG,male,8/25/89,27.0,1.97,88,22.7,0,0,0,
Facundo Olezza Bazan,sailing,ARG,male,8/30/94,21.9,1.87,97,27.7,0,0,0,
Fadwa Sidi Madane,athletics,MAR,female,11/20/94,21.7,1.75,56,18.3,0,0,0,
Fahad Talib,football,IRQ,male,10/21/94,21.8,1.90,84,23.3,0,0,0,
Fahem Hammachi,boxing,ALG,male,3/7/92,24.4,1.78,,,0,0,0,
Faicel Jaballah,judo,TUN,male,5/1/88,28.3,1.96,,,0,0,0,
Faith Chepngetich Kipyegon,athletics,KEN,female,1/10/94,22.6,1.57,43,17.4,1,0,0,
Faleh Suwead Al Ajami,equestrian,QAT,male,6/5/86,30.2,1.65,60,22.0,0,0,0,
Fan Wang,volleyball,CHN,female,1/27/94,22.5,1.88,72,20.4,0,0,0,
Fang Chen,shooting,CHN,female,10/19/83,32.8,1.71,60,20.5,0,0,0,
Fangxu Yang,volleyball,CHN,female,10/6/94,21.8,1.90,71,19.7,1,0,0,
Fanny Deberghes,aquatics,FRA,female,2/21/94,22.5,1.70,65,22.5,0,0,0,
Fanny Horta,rugby sevens,FRA,female,1/22/86,30.6,1.66,63,22.9,0,0,0,
Fanny Lecluyse,aquatics,BEL,female,3/11/92,24.4,1.77,64,20.4,0,0,0,
Fantine Lesaffre,aquatics,FRA,female,11/10/94,21.8,1.80,57,17.6,0,0,0,
Farah Boufadene,gymnastics,ALG,female,3/11/99,17.4,1.55,55,22.9,0,0,0,
Farah Jacques,athletics,CAN,female,2/8/90,26.5,1.74,59,19.5,0,0,0,
Fares Ferjani,fencing,TUN,male,7/22/97,19.1,1.75,60,19.6,0,0,0,
Fares Ibrahim E. H. Elbakh,weightlifting,QAT,male,6/4/98,18.2,1.75,85,27.8,0,0,0,
Farhad Ghaemi,volleyball,IRI,male,8/28/89,27.0,1.97,73,18.8,0,0,0,
Farhan Farhan,aquatics,BRN,male,10/24/96,19.8,1.79,67,20.9,0,0,0,
Farid Chaal,football,ALG,male,7/3/94,22.1,1.90,80,22.2,0,0,0,
Farida Azizova,taekwondo,AZE,female,6/6/95,21.2,1.73,67,22.4,0,0,0,
Farida Osman,aquatics,EGY,female,1/18/95,21.6,1.73,63,21.0,0,0,0,
Farkhad Kharki,weightlifting,KAZ,male,4/20/91,25.3,1.60,62,24.2,0,0,1,
Farzan Ashourzadeh Fallah,taekwondo,IRI,male,11/25/96,19.7,1.85,58,16.9,0,0,0,
Fatehah Mustapa,cycling,MAS,female,3/12/89,27.4,1.63,64,24.1,0,0,0,
Fatema Almahmeed,aquatics,BRN,female,6/14/99,17.2,1.67,60,21.5,0,0,0,
Fatima Alkaramova,aquatics,AZE,female,6/26/02,14.1,1.75,60,19.6,0,0,0,
Fatima Gallardo Carapeto,aquatics,ESP,female,5/24/97,19.2,1.80,60,18.5,0,0,0,
Fatima Galvez,shooting,ESP,female,1/19/87,29.6,1.66,60,21.8,0,0,0,
Fatma El Sharnouby,athletics,EGY,female,11/18/97,18.7,,,,0,0,0,
Fatou Dieng,basketball,SEN,female,8/18/83,33.0,1.67,60,21.5,0,0,0,
Fatoumata Samassekou,aquatics,MLI,female,12/31/87,28.6,1.68,74,26.2,0,0,0,
Faye Husain,aquatics,IOA,female,10/20/94,21.8,,,,0,0,0,
Faye Njie,judo,GAM,male,11/23/93,22.7,,,,0,0,0,
Fazliddin Gaibnazarov,boxing,UZB,male,6/16/91,25.2,1.69,,,1,0,0,
Federica Pellegrini,aquatics,ITA,female,8/5/88,28.0,1.79,65,20.3,0,0,0,
Federica Radicchi,aquatics,ITA,female,12/21/88,27.6,1.70,70,24.2,0,1,0,
Federico Bocchia,aquatics,ITA,male,10/24/86,29.8,1.97,93,24.0,0,0,0,
Federico Bruno,athletics,ARG,male,6/18/93,23.1,1.85,66,19.3,0,0,0,
Federico Delbonis,tennis,ARG,male,10/5/90,25.9,1.93,89,23.9,0,0,0,
Federico Fernandez,handball,ARG,male,10/17/89,26.8,1.91,88,24.1,0,0,0,
Federico Gil,shooting,ARG,male,4/29/88,28.3,1.75,78,25.5,0,0,0,
Federico Grabich,aquatics,ARG,male,3/26/90,26.4,1.93,92,24.7,0,0,0,
Federico Pizarro,handball,ARG,male,9/7/86,29.9,1.83,84,25.1,0,0,0,
Federico Turrini,aquatics,ITA,male,7/21/87,29.1,1.93,87,23.4,0,0,0,
Federico Vanelli,aquatics,ITA,male,3/9/91,25.4,1.80,75,23.1,0,0,0,
Federico Vieyra,handball,ARG,male,7/21/88,28.1,1.92,90,24.4,0,0,0,
Fedor Vlasov,shooting,RUS,male,3/28/84,32.4,1.79,93,29.0,0,0,0,
Fedrick Dacres,athletics,JAM,male,2/28/94,22.4,1.91,104,28.5,0,0,0,
Fehaid Aldeehani,shooting,IOA,male,10/11/66,49.9,1.76,95,30.7,1,0,0,
Fei Peng,wrestling,CHN,male,3/6/92,24.4,1.84,89,26.3,0,0,0,
Feihong Pan,rowing,CHN,female,7/17/89,27.1,1.73,57,19.0,0,0,1,
Feilian Mao,aquatics,CHN,male,7/30/93,23.0,1.85,74,21.6,0,0,0,
Felice Chow,rowing,TTO,female,6/15/77,39.2,1.75,70,22.9,0,0,0,
Felice Mueller,rowing,USA,female,10/15/89,26.8,1.86,72,20.8,0,0,0,
Felipe Aguilar,golf,CHI,male,11/7/74,41.8,1.70,72,24.9,0,0,0,
Felipe Aguilar,football,COL,male,1/20/93,23.6,1.91,80,21.9,0,0,0,
Felipe Almeida Wu,shooting,BRA,male,6/11/92,24.2,1.69,69,24.2,0,1,0,
Felipe AMARAL,equestrian,BRA,male,10/9/90,25.8,,,,0,0,0,
Felipe Anderson,football,BRA,male,4/15/93,23.3,1.75,69,22.5,1,0,0,
Felipe Borges,canoe,BRA,male,11/16/94,21.7,1.85,72,21.0,0,0,0,
Felipe Cardenas Morales,rowing,CHI,male,7/22/91,25.1,1.83,75,22.4,0,0,0,
Felipe Carmo,football,BRA,male,3/12/97,19.4,,,,0,0,0,
Felipe Claro,rugby sevens,BRA,male,2/28/86,30.5,1.72,83,28.1,0,0,0,
Felipe da Costa E Silva,aquatics,BRA,male,8/8/84,32.0,1.96,103,26.8,0,0,0,
Felipe Franca,aquatics,BRA,male,5/14/87,29.2,1.85,95,27.8,0,0,0,
Felipe Kitadai,judo,BRA,male,7/28/89,27.0,1.64,60,22.3,0,0,0,
Felipe Nascimento,modern pentathlon,BRA,male,7/5/93,23.1,1.72,68,23.0,0,0,0,
Felipe Perrone,aquatics,BRA,male,2/27/86,30.5,1.83,95,28.4,0,0,0,
Felipe Reyes,basketball,ESP,male,3/16/80,36.4,2.04,109,26.2,0,0,1,
Felipe Sancery,rugby sevens,BRA,male,5/27/94,22.2,1.82,90,27.2,0,0,0,
Felipe Tapia,aquatics,CHI,male,4/25/95,21.3,1.76,70,22.6,0,0,0,
Felisha Johnson,athletics,USA,female,7/24/89,27.1,1.86,127,36.7,0,0,0,
Felistas Muzongondi,football,ZIM,female,3/22/86,30.4,1.67,53,19.0,0,0,0,
Felix Auboeck,aquatics,AUT,male,12/19/96,19.6,1.98,85,21.7,0,0,0,
Felix Denayer,hockey,BEL,male,1/31/90,26.5,1.90,85,23.5,0,1,0,
Felix Drahotta,rowing,GER,male,1/1/89,27.6,2.00,102,25.5,0,1,0,
Felix Vogg,equestrian,SUI,male,6/19/90,26.1,1.80,68,21.0,0,0,0,
Felix Wimberger,rowing,GER,male,2/28/90,26.5,1.90,92,25.5,0,0,0,
Femi Ogunode,athletics,QAT,male,5/15/91,25.2,1.85,85,24.8,0,0,0,
Femke Heemskerk,aquatics,NED,female,9/21/87,28.9,1.80,68,21.0,0,0,0,
Femke Pluim,athletics,NED,female,5/10/94,22.3,1.80,61,18.8,0,0,0,
Femke Stoltenborg,volleyball,NED,female,7/30/91,25.0,1.89,82,23.0,0,0,0,
Fen Li,table tennis,SWE,female,8/25/76,40.0,1.64,60,22.3,0,0,0,
Feng Chen,table tennis,SIN,male,3/24/94,22.4,1.70,65,22.5,0,0,0,
Feng Zhou,wrestling,CHN,female,9/12/93,22.9,1.75,71,23.2,0,0,0,
Fengkai Yu,boxing,CHN,male,3/13/95,21.4,1.93,,,0,0,0,
Fengliu Zhang,wrestling,CHN,female,11/15/89,26.7,1.72,77,26.0,0,0,1,
Fengyue Pang,football,CHN,female,1/19/89,27.6,1.65,59,21.7,0,0,0,
Ferdinand Gerz,sailing,GER,male,11/17/88,27.7,1.76,62,20.0,0,0,0,
Ferenc Szekszardi,canoe,AUS,male,9/22/79,36.9,1.78,79,24.9,0,0,0,
Ferenc Szentirmai,equestrian,UKR,male,11/29/83,32.7,1.80,75,23.1,0,0,0,
Fergus Kavanagh,hockey,AUS,male,5/21/85,31.2,1.82,75,22.6,0,0,0,
Ferguson Cheruiyot Rotich,athletics,KEN,male,11/30/89,26.7,1.85,74,21.6,0,0,0,
Ferhat Arican,gymnastics,TUR,male,7/28/93,23.0,1.78,68,21.5,0,0,0,
Fernanda Decnop,sailing,BRA,female,6/19/87,29.2,1.72,67,22.6,0,0,0,
Fernanda Ferreira,rowing,BRA,female,1/25/85,31.5,1.63,58,21.8,0,0,0,
Fernanda Franca da Silva,handball,BRA,female,9/25/89,26.9,1.76,68,22.0,0,0,0,
Fernanda Martins,athletics,BRA,female,7/26/88,28.0,1.75,85,27.8,0,0,0,
Fernanda Oliveira,sailing,BRA,female,12/19/80,35.7,1.61,54,20.8,0,0,0,
Fernanda Rodrigues,volleyball,BRA,female,5/10/86,30.3,1.81,75,22.9,0,0,0,
Fernanda Russo,shooting,ARG,female,10/2/99,16.9,1.66,60,21.8,0,0,0,
Fernando,football,POR,male,3/14/97,19.4,1.82,75,22.6,0,0,0,
Fernando Alarza,triathlon,ESP,male,3/23/91,25.4,1.78,67,21.1,0,0,0,
Fernando Borello,shooting,ARG,male,2/12/80,36.5,1.88,92,26.0,0,0,0,
Fernando Carro,athletics,ESP,male,4/1/92,24.4,1.70,60,20.8,0,0,0,
Fernando Daniel Martinez,boxing,ARG,male,7/18/91,25.1,1.65,,,0,0,0,
Fernando Dayan Jorge,canoe,CUB,male,12/3/98,17.7,1.73,70,23.4,0,0,0,
Fernando Echavarri Erasun,sailing,ESP,male,8/13/72,44.0,1.80,76,23.5,0,0,0,
Fernando Garcia,handball,ARG,male,8/31/81,35.0,1.90,91,25.2,0,0,0,
Fernando Gaviria Rendon,cycling,COL,male,8/19/94,22.0,1.80,70,21.6,0,0,0,
Fernando Luna,rugby sevens,ARG,male,5/12/90,26.3,1.82,80,24.2,0,0,0,
Fernando Pimenta,canoe,POR,male,8/13/89,27.0,1.78,81,25.6,0,0,0,
Fernando Prass,football,BRA,male,7/9/78,38.1,,,,0,0,0,
Fernando Salas Manguis,weightlifting,ECU,male,2/10/88,28.5,1.86,163,47.1,0,0,0,
Fernando Saraiva Reis,weightlifting,BRA,male,3/10/90,26.4,1.85,155,45.3,0,0,0,
Fernando Scavasin,fencing,BRA,male,11/24/84,31.7,1.84,80,23.6,0,0,0,
Ferry Weertman,aquatics,NED,male,6/27/92,24.1,1.89,86,24.1,1,0,0,
Feyisa Lilesa,athletics,ETH,male,2/1/90,26.5,1.75,67,21.9,0,1,0,
Fidel Antonio Vargas,canoe,CUB,male,7/28/92,24.0,1.86,91,26.3,0,0,0,
Fie Udby Erichsen,rowing,DEN,female,4/23/85,31.3,1.84,79,23.3,0,0,0,
Filip Dvorak,canoe,CZE,male,7/30/88,28.0,1.89,89,24.9,0,0,0,
Filip Filipovic,aquatics,SRB,male,5/1/87,29.3,1.96,101,26.3,1,0,0,
Filip Grgic,taekwondo,CRO,male,10/25/89,26.8,1.73,70,23.4,0,0,0,
Filip Hrgovic,boxing,CRO,male,6/4/92,24.2,1.97,,,0,0,1,
Filip Ingebrigtsen,athletics,NOR,male,4/20/93,23.3,,,,0,0,0,
Filip KLIKOVAC,aquatics,MNE,male,2/7/89,27.5,1.90,118,32.7,0,0,0,
Filip Kruslin,basketball,CRO,male,3/18/89,27.4,1.99,93,23.5,0,0,0,
Filip Mihaljevic,athletics,CRO,male,7/31/94,22.0,2.01,114,28.2,0,0,0,
Filip Nepejchal,shooting,CZE,male,7/8/99,17.1,1.77,70,22.3,0,0,0,
Filip Svab,canoe,CZE,male,4/28/83,33.3,1.73,78,26.1,0,0,0,
Filip Ude,gymnastics,CRO,male,6/3/86,30.2,1.70,68,23.5,0,0,0,
Filip Wypych,aquatics,POL,male,4/20/91,25.3,1.83,75,22.4,0,0,0,
Filip Zaborowski,aquatics,POL,male,7/25/94,22.0,1.88,77,21.8,0,0,0,
Filipa Martins,gymnastics,POR,female,1/9/96,20.6,1.63,55,20.7,0,0,0,
Filipe Baravilala,football,FIJ,male,11/25/94,21.7,1.70,72,24.9,0,0,0,
Filippa Idehn,handball,SWE,female,8/15/90,26.0,1.83,80,23.9,0,0,0,
Filippo Ganna,cycling,ITA,male,7/25/96,20.0,1.95,75,19.7,0,0,0,
Filippo Lanza,volleyball,ITA,male,3/3/91,25.4,1.98,98,25.0,0,1,0,
Filippo Magnini,aquatics,ITA,male,2/2/82,34.5,1.87,80,22.9,0,0,0,
Finn Lemke,handball,GER,male,4/30/92,24.3,2.10,115,26.1,0,0,1,
Finn Lynch,sailing,IRL,male,4/23/96,20.3,1.82,82,24.8,0,0,0,
Fiona Albert,rowing,AUS,female,12/12/90,25.7,1.75,75,24.5,0,0,0,
Fiona Bigwood,equestrian,GBR,female,4/24/76,40.3,1.73,75,25.1,0,1,0,
Fiona Doyle,aquatics,IRL,female,10/4/91,24.9,1.72,63,21.3,0,0,0,
Fiona Pennie,canoe,GBR,female,11/9/82,33.8,1.69,70,24.5,0,0,0,
Fionnuala McCormack,athletics,IRL,female,9/24/84,31.9,1.59,46,18.2,0,0,0,
Fiorella Francesca Cueva Uribe,weightlifting,PER,female,2/4/98,18.5,1.50,48,21.3,0,0,0,
Fitzroy Dunkley,athletics,JAM,male,5/20/93,23.2,1.96,80,20.8,0,1,0,
Flavia de Lima,athletics,BRA,female,7/1/93,23.1,1.76,65,21.0,0,0,0,
Flavia Oliveira,cycling,BRA,female,10/27/81,34.8,1.56,46,18.9,0,0,0,
Flavia Saraiva,gymnastics,BRA,female,9/30/99,16.9,1.33,31,17.5,0,0,0,
Flavia Tartaglini,sailing,ITA,female,2/2/85,31.5,1.71,59,20.2,0,0,0,
Flings Owusu-Agyapong,athletics,GHA,female,10/16/88,27.8,,,,0,0,0,
Flor Ruiz,athletics,COL,female,1/29/91,25.5,1.72,59,19.9,0,0,0,
Flora Duffy,triathlon,BER,female,9/30/87,28.9,1.63,57,21.5,0,0,0,
Flora Molnar,aquatics,HUN,female,3/2/98,18.4,1.75,65,21.2,0,0,0,
Florence Allan,sailing,CAY,female,5/26/98,18.2,1.68,57,20.2,0,0,0,
Florencia Habif,hockey,ARG,female,8/22/93,23.0,1.65,55,20.2,0,0,0,
Florencia Natasha Busquets Reyes,volleyball,ARG,female,6/27/89,27.1,1.92,68,18.4,0,0,0,
Florent Caelen,athletics,BEL,male,3/1/89,27.4,1.75,54,17.6,0,0,0,
Florent Manaudou,aquatics,FRA,male,11/12/90,25.7,1.99,99,25.0,0,2,0,
Florent Pietrus,basketball,FRA,male,1/19/81,35.6,2.01,103,25.5,0,0,0,
Florent Van Aubel,hockey,BEL,male,10/25/91,24.8,1.78,73,23.0,0,1,0,
Floria Guei,athletics,FRA,female,5/2/90,26.3,1.66,53,19.2,0,0,0,
Florian Carvalho,athletics,FRA,male,3/9/89,27.4,1.83,70,20.9,0,0,0,
Florian Floto,archery,GER,male,4/12/88,28.3,1.88,105,29.7,0,0,0,
Florian Fuchs,hockey,GER,male,11/10/91,24.8,1.85,74,21.6,0,0,1,
